"Parcel_No","Bylaw_No","Address","Desc","CommonName","Year_built","Year_Desig","Doc_URL","WebsiteURL","Image1_URL","Image2_URL","Lon","Lat",
"10759","10045","30 Hellems Avenue","KNOWN AS THE CENTRAL FIRE HALL, AS A BUILDING OF HISTORIC OR ARCHITECTURAL VALUE UNDER THE HERITAGE ACT. DESIGNATE","Central Fire Hall","1920","1993","https://www.welland.ca/Heritage/CentalFireHall.asp","https://www.welland.ca/Heritage/CentalFireHall.asp","https://www.welland.ca/Heritage/picts/central-firehall-now.jpg","https://www.welland.ca/Heritage/picts/central-firehall-then.jpg","-79.246425","42.991645",
"19765","9776","33 Maple Avenue","IN THE CITY OF WELLAND, KNOWN AS THE HOOKER HOUSE, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Hooker House","1857","1991","https://www.welland.ca/Heritage/HookerHouse.asp","https://www.welland.ca/Heritage/HookerHouse.asp","https://www.welland.ca/Heritage/picts/hooker-now.jpg","https://www.welland.ca/Heritage/picts/hooker-then.jpg","-79.253535","42.989806",
"3382","2005-155","342 Ontario Road","KNOWN AS THE UKRANIAN LABOUR TEMPLE, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING.","Ukranian Labour Temple","1935","2005","https://www.welland.ca/Heritage/UkrainianLabourTemple.asp","https://www.welland.ca/Heritage/UkrainianLabourTemple.asp","https://www.welland.ca/Heritage/picts/Ukrainian_Labour_Temple-now.jpg","https://www.welland.ca/Heritage/picts/Ukrainian_Labour_Temple-then.jpg","-79.245572","42.974420",
"15279","11209","4 Smith Street","KNOWN AS THE HAUN-KENNEY HOUSE OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE","Haun-Kenney House","1860","1998","https://www.welland.ca/Heritage/HaunKenneyHouse.asp","https://www.welland.ca/Heritage/HaunKenneyHouse.asp","https://www.welland.ca/Heritage/picts/Haun-Kenney-now.jpg","https://www.welland.ca/Heritage/picts/Haun-Kenney-then.jpg","-79.249517","42.999735",
"7594","2005-106","400 King Street","KNOWN AS THE MIZOPAH MISSION/ ITALIAN PENTECOSTAL CHURCH, OF ARCHITECTURAL VALUE OR INTEREST. HERITAGE ACT. HERITAGE BUILDING. DESIGNATE","Mizopah Mission/ Italian Pentecostal Church","1917","2005","https://www.welland.ca/Heritage/MizpahMissionItalianPentecostalChurch.asp","https://www.welland.ca/Heritage/MizpahMissionItalianPentecostalChurch.asp","https://www.welland.ca/Heritage/picts/Mizpah-Mission-now.jpg","https://www.welland.ca/Heritage/picts/Mizpah-Mission-then.jpg","-79.250870","42.983446",
"15051","10973","44 Merritt Street","KNOWN AS THE BRIDGETENDER'S HOUSE OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST UNDER THE HERITAGE ACT. DESIGNATE","Bridgetender's House","1855","1997","https://www.welland.ca/Heritage/BridgeTendersHouse.asp","https://www.welland.ca/Heritage/BridgeTendersHouse.asp","https://www.welland.ca/Heritage/picts/BridgetendersHouse-now.jpg","https://www.welland.ca/Heritage/picts/BridgetendersHouse-then.jpg","-79.251029","42.995719",
"19995","8822","70 Young Street","KNOWN AS THE FARMERS' MARKET BUILDING, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Farmers' Market Building","1919","1987","https://www.welland.ca/Heritage/WellandFarmersMarket.asp","https://www.welland.ca/Heritage/WellandFarmersMarket.asp","https://www.welland.ca/Heritage/picts/farmers-market-now.jpg","https://www.welland.ca/Heritage/picts/farmers-market-then.jpg","-79.248762","42.989912",
"1596","2004-44","52 Chaffey Street","KNOWN AS THE CHAFFEY-FENNESSY HOUSE AS BEING OF ARCHITECTURAL AND HISTORIC VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Chaffey-Fennessy House","1912","2004","https://www.welland.ca/Heritage/ChaffeyFennessyHouse.asp","https://www.welland.ca/Heritage/ChaffeyFennessyHouse.asp","https://www.welland.ca/Heritage/picts/chaffey-now.jpg","","-79.244545","42.973843",
"19768","10365","53 Maple Avenue","KNOWN AS THE REILLY COULSON HOUSE OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE ACT","Reilly Coulson House","1873","1994","https://www.welland.ca/Heritage/ReillyCoulsonHouse.asp","https://www.welland.ca/Heritage/ReillyCoulsonHouse.asp","https://www.welland.ca/Heritage/picts/Reilly-Coulson-now.jpg","https://www.welland.ca/Heritage/picts/Reilly-Coulson-then.jpg","-79.254244","42.989657",
"11689","2004-43","77 West Main Street","KNOWN AS THE TUCKEY-LEE BUILDING AS BEING OF ARCHITECTURAL AND HISTORIC VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Tuckey-lee Building","1856","2004","https://www.welland.ca/Heritage/TuckeyLeeBuilding.asp","https://www.welland.ca/Heritage/TuckeyLeeBuilding.asp","https://www.welland.ca/Heritage/picts/Tuckey-Lee-now.jpg","https://www.welland.ca/Heritage/picts/Tuckey-Lee-then.jpg","-79.253736","42.991205",
"11594","2004-130","81 Bald Street","KNOWN AS THE KING-HILL HOUSE, OF ARCHITECTURAL VALUE OR INTEREST. HERITAGE ACT. DESIGNATE HERITAGE BUILDING.","King-Hill House","1872","2004","https://www.welland.ca/Heritage/KingHillHouse.asp","https://www.welland.ca/Heritage/KingHillHouse.asp","https://www.welland.ca/Heritage/picts/king-hill-now.jpg","https://www.welland.ca/Heritage/picts/king-hill-then.jpg","-79.255006","42.990327",
"10812","8757","88 King Street","IN THE CITY OF WELLAND, KNOWN AS CENTRAL UNITED CHURCH, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Central United Church","1882","1987","https://www.welland.ca/Heritage/CentralUnitedChurch.asp","https://www.welland.ca/Heritage/CentralUnitedChurch.asp","https://www.welland.ca/Heritage/picts/central-united-now.jpg","https://www.welland.ca/Heritage/picts/central-united-then.jpg","-79.250504","42.989744",
"11680","10673","Catharine Street","OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE","Catharine Street - ""The Brick Road""","1913","1996","https://www.welland.ca/Heritage/CatharineStreet.asp","https://www.welland.ca/Heritage/CatharineStreet.asp","https://www.welland.ca/Heritage/picts/Catherine-now.jpg","https://www.welland.ca/Heritage/picts/Catherine-then.jpg","-79.258650","42.990073",
"20199","10332","Main Street Bridge","AS A STRUCTURE OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. HERTITAGE ACT. DESIGNATE HERITAGE BUILDING.","Main Street Bridge","1931","1995","https://www.welland.ca/Heritage/MainStreetBridge.asp","https://www.welland.ca/Heritage/MainStreetBridge.asp","https://www.welland.ca/Heritage/picts/main-st-bridge-now.jpg","https://www.welland.ca/Heritage/picts/main-st-bridge-then.jpg","-79.251451","42.991680",
"19702","11136","Welland-Crowland War Memorial Chippawa Park","OF HISTORIC OR ARCHITECTURAL INTEREST. DESIGNATE","Welland-Crowland War Memorial Chippawa Park","1939","1997","https://www.welland.ca/Heritage/WellandCrowlandWarMemorial.asp","https://www.welland.ca/Heritage/WellandCrowlandWarMemorial.asp","https://www.welland.ca/Heritage/picts/war-memorial-now.jpg","https://www.welland.ca/Heritage/picts/war-memorial-then.jpg","-79.258156","42.997343",
"7215","2011-103","501 King Street","THE TORONTO STAR ARENA CLOCK OF CULTURAL HERITAGE VALUE OR INTEREST.","Toronto Star Arena Clock","0","2011","https://www.welland.ca/Heritage/TorontoStarClock.asp","https://www.welland.ca/Heritage/TorontoStarClock.asp","https://www.welland.ca/Heritage/picts/Toronto-Star-Clock.jpg","","-79.252377","42.980677",
